Participant Legal Business Name,ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,ACO Public Contact Name,ACO Public Contact Email,ACO Public Contact Phone
Internal Medicine Associates of Southern Nevada,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Greg Fihn DO Ltd,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Mickey Weisz Md Pc,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Geriatric Medical Associates of Nevada,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Silver State Cardiology LLC,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Tousif M Pasha Ltd,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Danka K Michaels Md Professional Corporation,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Internal Medicine Associates,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Bone & Joint Specialists,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
"Donielle Freedman, M.D. Ltd","A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
