ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
AAMC Collaborative Care Network,Maryland,01/01/2013,Track1,No,14385,$131243376,$138499643,$-7256267,-5.53%,,-,Yes,91.29%,84.25,93.85,92.21,83.2,59.04,76.56,73.39,14.33,0.95,1.14,93.75,76.83,72.1,65.82,79.64,59.48,98.53,36.79,78.03,79.61,60.19,20.97,77.04,55.91,66.39,65.22,89.27,14.62,69.78,50.97,87.74,94.44,83.41,87.02,89.47
"Accountable Care Alliance of Ventura, LLC",California,01/01/2014,Track1,No,6956,$67479183,$67272054,$207129,0.31%,,-,Yes,P4R,79.73,90.68,90.62,84.1,53.45,73.08,70.43,15.33,0.71,0.82,80,85.34,4.59,39.64,34.26,49.01,59.84,4.22,40.47,36.07,23.09,7.45,55.16,42.64,63.28,31.98,83.78,37.31,61.67,40.58,70.49,92.59,51.49,54.63,79.41
"ACCOUNTABLE CARE CLINICAL SERVICES, PC","Pennsylvania,  New York,  Connecticut,  Illinois,  California,  Ohio,  Massachusetts",01/01/2013,Track1,No,43355,$474207024,$469099779,$5107245,1.08%,,-,Yes,83.04%,83.03,91.2,91.28,85.45,55.37,76.81,73.65,16.59,1.41,1.12,70.25,24.51,32.79,62.77,64.09,61.22,88.48,18.18,60.52,61.52,40,26.42,67.92,57.65,72.96,77.99,84.42,20.52,67.37,61.89,85.02,73.13,64.61,74.48,72.41
"Accountable Care Coalition of Caldwell County, LLC",North Carolina,04/01/2012,Track1,No,4866,$39903071,$38077400,$1825671,4.58%,$1825671,-,No,0.00%,,,,,,,,14.79,0.65,0.52,47.62,35.26,15.57,65.95,60.91,60.16,72.52,26.34,55.3,66.5,35.13,14.47,74.34,55.92,58.88,52.96,83.86,13.68,56.26,53.78,91.21,82.61,60.22,68.09,77.27
"Accountable Care Coalition of Central Georgia, LLC.",Georgia,01/01/2013,Track1,No,10914,$111718529,$112364583,$-646054,-0.58%,,-,Yes,78.56%,77.72,91.33,91.06,86.39,55.36,67.43,69.12,15.68,1.41,1.51,79.31,100,21,31.78,32.59,58.74,81.18,17.21,47.25,27.64,36.27,15.31,53.13,37.12,63.57,75.41,85.92,38.66,63.28,33.63,80.36,29.33,29.14,34.22,66.29
"Accountable Care Coalition of Coastal Georgia, LLC","South Carolina,  Georgia",04/01/2012,Track1,No,9491,$91067811,$95176028,$-4108217,-4.51%,,-,Yes,91.76%,77.32,91.5,92.24,85.33,60.13,73.58,71.46,13.99,0.74,1.22,100,97.97,80.99,66.8,62.35,73.28,94.79,76.23,76.85,84.02,57.46,34.98,76.88,68.77,74.51,86.56,89.59,12.97,73.56,67.57,91.46,91.23,79.96,88.82,73.71
"Accountable Care Coalition of DeKalb, LLC.",Georgia,01/01/2013,Track2,No,16426,$140992951,$139228583,$1764368,1.25%,,-,Yes,80.87%,81.08,92.4,91.39,86.18,58.48,72.43,73.4,14.45,1.03,1.38,69.47,77.33,29.15,52.83,54.59,68.24,75.42,17.18,58.32,63.48,35.7,26.25,77.22,62.55,65.64,66.99,85.71,14.48,65.69,58.3,89.88,91.8,65.1,70.98,84.17
"Accountable Care Coalition of Eastern North Carolina, LLC",North Carolina,04/01/2012,Track1,No,8340,$64910038,$65529342,$-619304,-0.95%,,-,Yes,74.00%,82.35,92.08,90.69,85.64,53.34,72.22,71.07,14.69,0.82,1.18,45.83,88.11,18.96,44.44,45.33,63.45,80.46,28.02,45.36,50.11,57.34,17.18,65.41,44.71,67.29,67.53,90.4,24.36,61.61,54.52,86.88,78,59.08,73.33,60.89
"Accountable Care Coalition of Georgia, LLC.",Georgia,01/01/2013,Track1,No,10876,$91230284,$90220067,$1010218,1.11%,,-,Yes,85.04%,71.02,88.44,86.78,79.29,55.66,65.73,73.07,15.1,1.03,1.22,,80.18,50,50,45.95,68.95,94.06,69.25,55.78,58.87,48.19,13.1,65.28,39.08,60.7,80.13,84.97,24.19,67.29,50.12,90.51,77.08,64.76,71.63,82.3
"Accountable Care Coalition of Greater Athens Georgia II, LLC.",Georgia,01/01/2013,Track1,No,9811,$92678098,$92487339,$190759,0.21%,,-,Yes,82.90%,78.67,91.9,90.15,83.94,53.31,73.88,67.2,15.19,1.16,0.84,81.82,96.46,35.33,51.47,38.64,50.72,84.41,10.55,37.91,34.34,26.55,24.74,69.02,54.68,67.78,78.38,87.34,21.99,62.21,55.86,88.96,34.52,49.08,55.85,74.06
"Accountable Care Coalition of Greater Athens Georgia, LLC",Georgia,04/01/2012,Track1,No,6049,$53203948,$51460609,$1743339,3.28%,,-,Yes,76.86%,83.12,92.91,92.19,86.59,51.9,74.84,68.84,14.69,1.62,1.39,77.27,90.48,20.35,55.05,41.81,56.21,74.55,10,50.84,29.93,36.98,17.17,58.58,41.69,64.03,70.3,77.88,34.33,59.83,40.47,77.26,61.54,44.44,51.75,70.44
"Accountable Care Coalition of Greater Augusta & Statesboro, LLC.","South Carolina,  Georgia",01/01/2013,Track1,No,20996,$196780248,$208877753,$-12097506,-6.15%,,-,Yes,86.42%,81.25,93.11,92.18,86.97,57.51,73.21,69.52,16.1,1.23,1.41,96.77,89.66,38.33,62.59,65.44,67.9,93.85,28.49,70.47,54.94,45.36,30.81,75.39,64.34,64.73,88.18,81.51,12.72,68.19,56.9,89.17,85.27,66.8,74.95,77.37
